iter	RMSE
0	9.213943142
1	9.208917565
2	9.203561776
3	9.197966822
4	9.192189006
5	9.187040961
6	9.181470329
7	9.176070226
8	9.170226219
9	9.164622966
10	9.159187936
11	9.15379022
12	9.148463457
13	9.142720333
14	9.13731676
15	9.131519145
16	9.125990453
17	9.121149646
18	9.115881371
19	9.110169736
20	9.105340952
21	9.099899517
22	9.094120252
23	9.088861569
24	9.083129295
25	9.078465155
26	9.072917083
27	9.067122723
28	9.06193619
29	9.056325586
30	9.050996249
31	9.045539762
32	9.039959527
33	9.034600348
34	9.028686003
35	9.02326165
36	9.018376538
37	9.012701526
38	9.007991763
39	9.002857037
40	8.998099662
41	8.992214903
42	8.987103272
43	8.98189004
44	8.976365605
45	8.970937779
46	8.965505408
47	8.959912016
48	8.95519957
49	8.950480333
50	8.945654292
51	8.940729815
52	8.935748445
53	8.931066004
54	8.925948809
55	8.920421955
56	8.915153373
57	8.91093534
58	8.905714533
59	8.900666249
60	8.89526733
61	8.890699042
62	8.885852239
63	8.880766694
64	8.876241751
65	8.870924487
66	8.865158412
67	8.860222959
68	8.854783662
69	8.849663004
70	8.844622419
71	8.839172622
72	8.834583483
73	8.829452387
74	8.824557264
75	8.81953033
76	8.814400315
77	8.809971596
78	8.804560715
79	8.799259851
80	8.794408303
81	8.789290465
82	8.783693484
83	8.779031759
84	8.773087185
85	8.767763672
86	8.762269189
87	8.757057544
88	8.751863592
89	8.746643253
90	8.741050313
91	8.735654445
92	8.730643629
93	8.725878791
94	8.720524026
95	8.714995923
96	8.71004748
97	8.705384793
98	8.699907963
99	8.694578934
100	8.689400047
101	8.68477819
102	8.680009276
103	8.67480014
104	8.670357667
105	8.664913554
106	8.659374336
107	8.65509114
108	8.650023481
109	8.645529033
110	8.640385173
111	8.636024881
112	8.630625848
113	8.625551083
114	8.620402234
115	8.615276584
116	8.610311702
117	8.60522881
118	8.599913564
119	8.594397409
120	8.589743472
121	8.584739177
122	8.579816899
123	8.574770264
124	8.569577138
125	8.564296582
126	8.55989585
127	8.554520382
128	8.549613868
129	8.544852139
130	8.5397016
131	8.534892335
132	8.53053876
133	8.526052365
134	8.521579571
135	8.516880459
136	8.511830084
137	8.507005378
138	8.501957874
139	8.496525765
140	8.491723059
141	8.486531865
142	8.481229465
143	8.476932994
144	8.472716622
145	8.467776985
146	8.463134604
147	8.458304093
148	8.453486375
149	8.448140274
150	8.443239416
151	8.438402403
152	8.43368088
153	8.428690781
154	8.423898626
155	8.419928553
156	8.415178787
157	8.410064132
158	8.405103609
159	8.400626081
160	8.395547194
161	8.391265091
162	8.38680418
163	8.381985456
164	8.377248528
165	8.372774783
166	8.368288449
167	8.363179179
168	8.358470071
169	8.353334165
170	8.348517688
171	8.343839321
172	8.338609236
173	8.333589062
174	8.328411852
175	8.324108042
176	8.319370286
177	8.314193385
178	8.309638041
179	8.305376871
180	8.299977576
181	8.295348237
182	8.290528686
183	8.285712869
184	8.281417739
185	8.27631096
186	8.271719063
187	8.267171382
188	8.262979496
189	8.258144272
190	8.253208608
191	8.248283757
192	8.24343667
193	8.238228976
194	8.233504998
195	8.228578968
196	8.224082557
197	8.21959317
198	8.214578476
199	8.210538726
200	8.20507666
201	8.200647102
202	8.196067787
203	8.191214624
204	8.186324365
205	8.18134045
206	8.176888478
207	8.172375222
208	8.167986971
209	8.163231574
210	8.158672825
211	8.153460893
212	8.149021655
213	8.144721147
214	8.139893664
215	8.135090069
216	8.131026096
217	8.126602616
218	8.121951051
219	8.117713702
220	8.112877588
221	8.108395246
222	8.103998188
223	8.099567723
224	8.095196866
225	8.090685487
226	8.086136599
227	8.081325711
228	8.076915466
229	8.072617125
230	8.068258009
231	8.06374613
232	8.059149648
233	8.054622076
234	8.050186735
235	8.045427606
236	8.04055558
237	8.035917444
238	8.031847673
239	8.027197387
240	8.022649125
241	8.017910566
242	8.013160866
243	8.008805794
244	8.004371206
245	8.000067742
246	7.995706699
247	7.991564355
248	7.986976002
249	7.982722645
250	7.978304657
251	7.973442479
252	7.969312445
253	7.964849307
254	7.960899557
255	7.956208929
256	7.952181782
257	7.94814136
258	7.943266821
259	7.938494475
260	7.934174376
261	7.929212373
262	7.924411656
263	7.920039528
264	7.916181077
265	7.911899303
266	7.907838441
267	7.903686168
268	7.899081583
269	7.894489398
270	7.890118457
271	7.885469924
272	7.881361618
273	7.87701845
274	7.872595762
275	7.868645643
276	7.864082047
277	7.859632074
278	7.855240754
279	7.850664907
280	7.8457067
281	7.841420548
282	7.836890934
283	7.833044838
284	7.828509583
285	7.82457027
286	7.819866785
287	7.815351341
288	7.811331658
289	7.806139008
290	7.801554459
291	7.79720904
292	7.792806128
293	7.789034952
294	7.784543242
