iter	Passed	Remaining
0	18	13034
1	20	7144
2	22	5163
3	24	4220
4	25	3606
5	28	3248
6	30	3015
7	34	2946
8	41	3167
9	45	3135
10	50	3151
11	57	3278
12	60	3206
13	64	3152
14	67	3066
15	69	2989
16	73	2945
17	76	2893
18	79	2848
19	82	2803
20	85	2761
21	88	2733
22	93	2743
23	95	2677
24	97	2623
25	98	2560
26	100	2511
27	103	2486
28	105	2441
29	110	2458
30	113	2446
31	116	2430
32	119	2420
33	124	2435
34	126	2399
35	129	2384
36	131	2348
37	133	2334
38	137	2334
39	141	2333
40	144	2326
41	148	2320
42	150	2300
43	154	2305
44	157	2297
45	160	2281
46	162	2258
47	165	2253
48	170	2260
49	173	2250
50	175	2228
51	177	2216
52	180	2207
53	182	2186
54	187	2196
55	189	2175
56	191	2158
57	193	2138
58	195	2121
59	198	2117
60	202	2119
61	204	2108
62	207	2098
63	210	2090
64	213	2086
65	218	2097
66	221	2088
67	224	2083
68	227	2077
69	230	2074
70	235	2082
71	237	2073
72	240	2069
73	244	2070
74	247	2059
75	251	2065
76	255	2064
77	258	2058
78	262	2061
79	267	2072
80	269	2058
81	274	2067
82	279	2078
83	284	2084
84	288	2088
85	292	2088
86	296	2090
87	299	2082
88	302	2075
89	305	2070
90	309	2070
91	313	2070
92	315	2062
93	318	2050
94	320	2038
95	321	2025
96	323	2013
97	327	2009
98	329	2003
99	331	1988
100	333	1977
101	335	1968
102	337	1954
103	340	1951
104	342	1940
105	344	1929
106	346	1918
107	348	1909
108	350	1897
109	352	1890
110	354	1883
111	359	1885
112	362	1884
113	365	1879
114	368	1873
115	369	1861
116	373	1860
117	376	1855
118	378	1847
119	379	1836
120	381	1826
121	384	1821
122	387	1817
123	390	1812
124	391	1801
125	393	1791
126	395	1785
127	397	1775
128	399	1769
129	402	1766
130	405	1761
131	406	1751
132	408	1742
133	410	1734
134	412	1726
135	414	1720
136	417	1713
137	419	1708
138	423	1707
139	426	1704
140	428	1696
141	430	1690
142	433	1690
143	437	1688
144	440	1684
145	442	1679
146	446	1678
147	452	1688
148	455	1683
149	458	1680
150	461	1677
151	465	1679
152	468	1675
153	470	1668
154	472	1662
155	474	1656
156	477	1652
157	483	1657
158	486	1653
159	488	1647
160	490	1641
161	492	1634
162	493	1626
163	496	1623
164	499	1620
165	501	1614
166	503	1608
167	505	1600
168	507	1593
169	508	1585
170	510	1579
171	513	1575
172	514	1568
173	516	1561
174	518	1554
175	519	1546
176	520	1539
177	522	1531
178	523	1524
179	526	1519
180	528	1514
181	529	1507
182	531	1500
183	532	1493
184	534	1486
185	535	1481
186	537	1474
187	539	1467
188	540	1461
189	543	1458
190	545	1454
191	547	1447
192	548	1441
193	550	1435
194	552	1430
195	554	1425
196	555	1418
197	558	1415
198	560	1411
